id,city,district,neighborhood,condition,type,rooms,area_m2,lift,views,floor,prices
856,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,82,Yes,exterior, floor 1,260000
857,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,4,191,Yes,exterior, floor 5,2300000
858,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,4,109,Yes,exterior, floor 1,529000
859,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,2,72,Yes,exterior, floor 4,395000
860,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,4,145,Yes,exterior, floor 6,760000
861,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,2,74,Yes,exterior, floor 1,495000
862,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,2,134,Yes,exterior,ground floor,449000
863,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,189,Yes,exterior, floor 5,930000
864,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,139,Yes,exterior, floor 2,1150000
865,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,2,57,No,exterior, floor 2,345000
866,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,106,Yes,exterior, floor 1,699000
867,Barcelona,Eixample,la Sagrada Família,good condition,Flat,5,198,Yes,exterior, floor 6,790000
868,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,3,120,Yes,exterior, floor 5,649999
869,Barcelona,Eixample,la Dreta de l'Eixample,good condition,Flat,5,197,Yes,exterior,mezzanine,990000
870,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,70,Yes,exterior, floor 4,289000
871,Barcelona,Eixample,la Sagrada Família,good condition,Flat,3,83,Yes,exterior, floor 2,330000
872,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,3,92,Yes,exterior, floor 3,399000
873,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,2,75,Yes,exterior,ground floor,215000
874,Barcelona,Sant Martí,Provençals del Poblenou,good condition,Flat,2,100,Yes,exterior, floor 3,499900
875,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,4,120,Yes,exterior, floor 4,545000
876,Barcelona,Sant Martí,el Besòs i el Maresme,good condition,Flat,5,201,Yes,exterior, floor 14,860000
877,Barcelona,Sant Andreu,el Bon Pastor,good condition,Flat,3,78,No,exterior, floor 2,178000
878,Barcelona,Horta-Guinardó,Horta,good condition,Flat,3,53,Yes,exterior, floor 1,185000
879,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,2,71,Yes,exterior, floor 3,260000
880,Barcelona,Eixample,el Fort Pienc,good condition,Flat,3,100,Yes,exterior, floor 3,469000
881,Barcelona,Sant Andreu,la Sagrera,good condition,Flat,3,70,Yes,exterior, floor 2,256000
882,Barcelona,Sants-Montjuïc,Sants,good condition,House,4,420,No,exterior,Multiple,1450000
883,Barcelona,Sant Andreu,el Bon Pastor,good condition,Flat,2,62,No,exterior, floor 2,129000
884,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,3,72,Yes,exterior, floor 1,335000
885,Barcelona,Sants-Montjuïc,la Bordeta,good condition,Flat,4,103,Yes,exterior, floor 5,422000
886,Barcelona,Sants-Montjuïc,Sants,good condition,Flat,3,107,Yes,exterior,mezzanine,399000
887,Barcelona,Ciutat Vella,Sant Pere - Santa Caterina i la Ribera,good condition,Flat,1,63,No,exterior, floor 1,285000
888,Barcelona,Eixample,el Fort Pienc,good condition,Flat,4,103,Yes,exterior,mezzanine,369000
889,Barcelona,Sant Andreu,Navas,good condition,Penthouse,3,67,Yes,exterior, floor 6,240000
890,Barcelona,Sant Martí,el Poblenou,good condition,Flat,3,92,Yes,exterior, floor 2,359000
891,Barcelona,Sant Martí,el Besòs i el Maresme,good condition,Flat,5,206,Yes,exterior, floor 14,874800
892,Barcelona,Sarrià-Sant Gervasi,Sant Gervasi - Galvany,good condition,Flat,4,214,Yes,exterior, floor 3,1750000
893,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,1,58,Yes,interior, floor 2,145000
894,Barcelona,Les Corts,les Corts,good condition,Flat,4,96,Yes,exterior, floor 4,385000
895,Barcelona,Horta-Guinardó,el Baix Guinardó,good condition,Flat,2,69,Yes,exterior, floor 2,270000
896,Barcelona,Sant Martí,el Clot,good condition,Flat,3,94,Yes,exterior, floor 1,295000
897,Barcelona,Sant Martí,la Verneda i la Pau,good condition,Flat,4,92,Yes,exterior,mezzanine,210000
898,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,105,Yes,interior, floor 7,499000
899,Barcelona,Gràcia,la Vila de Gràcia,good condition,Flat,3,76,Yes,exterior, floor 5,295000
900,Barcelona,Sarrià-Sant Gervasi,el Putxet i el Farró,good condition,Flat,4,140,Yes,exterior, floor 7,670000
901,Barcelona,Eixample,la Sagrada Família,good condition,Flat,4,93,Yes,exterior, floor 6,345000
902,Barcelona,Eixample,la Nova Esquerra de l'Eixample,good condition,Flat,3,70,Yes,exterior, floor 1,280000
903,Barcelona,Horta-Guinardó,Horta,good condition,Flat,3,65,Yes,exterior,mezzanine,199000
904,Barcelona,Ciutat Vella,el Barri Gòtic,good condition,Flat,3,78,No,exterior, floor 4,266000
905,Barcelona,Sant Martí,Diagonal Mar i el Front Marítim del Poblenou,good condition,Flat,2,80,Yes,exterior, floor 11,560000
906,Barcelona,Horta-Guinardó,el Baix Guinardó,good condition,Flat,3,88,Yes,exterior, floor 1,230000
907,Barcelona,Eixample,l'Antiga Esquerra de l'Eixample,good condition,Flat,3,128,Yes,exterior, floor 6,850000
908,Barcelona,Horta-Guinardó,el Guinardó,good condition,Flat,2,85,No,exterior, floor 1,210000
